gisjoin1890	year	statename	statenum	countyname	countynum	tpop	ln_totinc_pc1970	unionstates	gini_farmsize	banks50c	banks25c	capitalstock1902	banks50c1902	banks25c1902	tval_pc	capitalstock50pc	capitalstock_pc	ln_tval_pc	ln_manuf_val_pc	ln_farmprod_val_pc	ln_livestock_val_pc	ln_farm_mach_val_pc	ln_area_imp_farm_pc	ln_area_imp_farm	ln_manuf_estb	ln_numfarms	ln_meanfarmsize	ln_liabilities	ln_capitalstock	ln_loans	ln_liabilities_pc	ln_capitalstock_pc	ln_loans_pc	ln_tpop	banks_pc	farm_yield	insample_unionrural	insample_allrural	Mexcess_capital_pc	Mopt_capital_pc
2800270.0	1870	MISSISSIPPI	280	COAHOMA	270	690263330078125	7355678	0	0.5438574552536011	0	0	0	0	0	14592441	0	0.0	4983089	1194974	49601903	37734268	21751144	13996081	10239266	15750681	523863	5221367							8839658	0.0	35183674	0	1	-15200000	15200000
2800270.0	1880	MISSISSIPPI	280	COAHOMA	270	13568	7355678	0	0.6119834780693054	0	0	0	0	0	10579385	0	0.0	46614923	16493161	46110573	31991813	17438662	13385365	10854006	10986123	6133398	5764351							951547	0.0	26377747	0	1	-32600000	32600000
2800270.0	1890	MISSISSIPPI	280	COAHOMA	270	18342	7355678	0	0.6945660710334778	0	0	0	0	0	1381778	0	0.0	4928541	29194198	4784548	33078318	19495331	16448834	11461832	26390574	7575585	44284573							9816949	0.0	23096117	0	1	-44700000	44700000
2800270.0	1900	MISSISSIPPI	280	COAHOMA	270	26293	7355678	0	0.5256521701812744	0	0	0	0	0	121623474	0	0.0	480093	34545045	4499597	34529514	2118604	15339392	11710998	4356709	8307706	3826962							10177058	0.0	19407465	0	1	-50800000	50800000
2800290.0	1870	MISSISSIPPI	280	COPIAH	290	20608	7373067	0	0.5111963748931885	0	0	0	0	0	114885284	0	0.0	4743934	30980954	45296874	3647295	0.90877026	17227943	11656229	4060443	75379624	44850283							99334345	0.0	16558393	0	1	-33900000	33900000
2800290.0	1880	MISSISSIPPI	280	COPIAH	290	27552	7373067	0	0.5320621132850647	0	0	0	0	0	8840708	0	0.0	4481952	3353225	4091211	30885713	13463352	14702994	1169413	3912023	7841493	5187511							1022383	0.0	13748252	0	1	-34600000	34600000
2800290.0	1890	MISSISSIPPI	280	COPIAH	290	30233	7373067	0	0.5706800818443298	0	0	0	0	0	10520984	0	0.0	46559567	39455812	39797463	3199296	16303535	17324605	120491495	3713572	8051023	5081645							103166895	0.0	9462019	0	1	-52900000	52900000
2800290.0	1900	MISSISSIPPI	280	COPIAH	290	34395	7373067	0	0.5484498739242554	0	0	0	0	0	8870836	0	0.0	4485354	34449394	40494685	3246125	20049589	16371871	12082853	4919981	8411833	4521855							10445666	0.0	11159393	0	1	-41400000	41400000
2800310.0	1870	MISSISSIPPI	280	COVINGTON	310	479180793762207	7390529	0	0.6705612679943442	0	0	0	0	0	7789455	0	0.0	43553557	16225804	4288106	37000165	14556317	14892563	996392	23978953	65586677	38755949							8474663	0.0	16425743	0	1	-28900000	28900000
2800310.0	1880	MISSISSIPPI	280	COVINGTON	310	5993	7390529	0	0.41898852586746216	0	0	0	0	0	44710495	0	0.0	38002083	15857319	3684561	32409759	0.8606761	16235214	10321869	24849067	6555357	54681892							8698347	0.0	785413	0	1	-43000000	43000000
2800310.0	1890	MISSISSIPPI	280	COVINGTON	310	8299	7390529	0	0.3488975763320923	0	0	0	0	0	63319675	0	0.0	4148196	10323184	41028438	33955986	13657203	15789502	1060284	23025851	70596175	5449762							90238905	0.0	1247708	0	1	-46800000	46800000
2800310.0	1900	MISSISSIPPI	280	COVINGTON	310	13237318405151300	7390529	0	0.4215419990941882	0	0	0	0	0	8287768	0	0.0	44173656	32500403	40445642	33811471	19128569	15164759	11007271	37498286	75945225	4866394							9490795	0.0	12529529	0	1	-52700000	52700000
2800370.0	1870	MISSISSIPPI	280	FRANKLIN	370	7498	7375267	0	0.549823522567749	0	0	0	0	0	8241491	0	0.0	44117665	0.67321116	43876905	35907245	15474603	14590988	10381491	17917595	6291569	447801							8922392	0.0	18701275	0	1	-40500000	40500000
2800370.0	1880	MISSISSIPPI	280	FRANKLIN	370	9729	7375267	0	0.5592558979988098	0	0	0	0	0	56540653	0	0.0	403496	-0.28041083	4021508	3230005	14578569	13540183	10536884	20794415	71196356	53646727							9182866	0.0	14403769	0	1	-41600000	41600000
2800370.0	1890	MISSISSIPPI	280	FRANKLIN	370	10424	7375267	0	0.5315574407577515	0	0	0	0	0		0	0.0			4132523	34469192	17610089	16749892	10926855	0.6931472	72800083	52190714							9251866	0.0	11675981	0	1	-48000000	48000000
2800370.0	1900	MISSISSIPPI	280	FRANKLIN	370	13678	7375267	0	0.5283066034317017	0	0	0	0	0	709981	0	0.0	42626534	2231072	41220937	33847668	17220247	15753195	11098864	34965076	7551187	492563							9523544	0.0	12765856	0	1	-64100000	64100000
2800410.0	1870	MISSISSIPPI	280	GREENE	410	2038	7351081	0	0.3849843740463257	0	0	0	0	0	691791	0	0.0	42366986	31139078	38431072	4274906	-0.007881806	0.80359775	8423322	24849067	5379897	32365074							76197243	0.0	2089499	0	1	-43000000	43000000
2800410.0	1880	MISSISSIPPI	280	GREENE	410	3194	7351081	0	0.6878785490989685	0	0	0	0	0	20028805	0	0.0	29971714	16311173	27026505	40787835	0.655178	0.62998533	8699015	0.6931472	5880533	54858685							8069029	0.0	7945973	0	1	-42600000	42600000
2800410.0	1890	MISSISSIPPI	280	GREENE	410	3906	7351081	0	0.4720273017883301	0	0	0	0	0	41173325	0	0.0	37177906	15162914	36005406	39345026	0.72439975	0.8246604	909493	24849067	622059	5669881							8270269	0.0	1605275	0	1	-47700000	47700000
2800410.0	1900	MISSISSIPPI	280	GREENE	410	6795	7351081	0	0.5932226181030273	0	0	0	0	0	61777187	0	0.0	4123534	35782726	3256771	3533103	15908707	0.8997604	9723702	3218876	65971456	50690846							8823942	0.0	1055934	0	1	-38200000	38200000
2800430.0	1870	MISSISSIPPI	280	GRENADA	430	10571	7565666	0	0.5058592557907104	0	0	0	0	0	9585309	0	0.0	45628166	16065011	4509405	35964086	19077996	16819148	10947784	2944439	60958247	51812773							926587	0.0	16902988	0	1	-47600000	47600000
2800430.0	1880	MISSISSIPPI	280	GRENADA	430	12071	7565666	0	0.6194713711738586	0	0	0	0	0	6584981	0	0.0	41873765	11654987	41374407	2913303	1303379	1413185	10811746	31354942	6834109	53776975							93985615	0.0	15245061	0	1	-45800000	45800000
2800430.0	1890	MISSISSIPPI	280	GRENADA	430	14974	7565666	0	0.5430800318717957	0	0	0	0	0	45797916	0	0.0	38242385	0.9163708	37680998	32209306	15963975	16513802	112654505	20794415	7026427	5363485							9614071	0.0	8303854	0	1	-49200000	49200000
2800430.0	1900	MISSISSIPPI	280	GRENADA	430	14112	7565666	0	0.6109508872032166	0	0	0	0	0	7229287	0	0.0	42807255	28950298	39928439	33523774	16632366	18208921	11375673	38501475	75745583	4660682							9554781	0.0	8775394	0	1	-65200000	65200000
2800450.0	1870	MISSISSIPPI	280	HANCOCK	450	2755443115234370	76374574	0	0.24025879800319672	0	0	0	0	0	109157814	0	0.0	4692795	4309514	35482798	24889677	-0.9375098	-11464475	6774886	17664754	38999841	31190555							79213333	0.0		0	1	-22800000	22800000
2800450.0	1880	MISSISSIPPI	280	HANCOCK	450	41854912109375	76374574	0	0.4512256383895874	0	0	0	0	0	36650566	0	0.0	3601429	2728191	3060836	29534955	0.5368848	-0.383044	79563355	1871836	5466405	53281426							8339379	0.0	313082	0	1	-33100000	33100000
2800450.0	1890	MISSISSIPPI	280	HANCOCK	450	8318	76374574	0	0.5489504933357239	0	0	0	0	0	6080993	0	0.0	41077533	40322385	14868042	12635927	-0.61656916	-1073562	79526153	27080503	53565865	54217553							9026177	0.0	12940556	0	1	-47700000	47700000
2800450.0	1900	MISSISSIPPI	280	HANCOCK	450	11886	76374574	0	0.5172092318534851	0	0	0	0	0	13601573	0	0.0	49127707	4801433	26624293	30128696	0.81973463	-0.6812712	8701845	36888795	6272877	48983326							9383117	0.0	28323744	0	1	-63800000	63800000
2800470.0	1870	MISSISSIPPI	280	HARRISON	470	5865762924194330	77240443	0	0.23107418837025762	0	0	0	0	0	34300545	0	0.0	35351613	33325062	18392944	26012325	-127218	-16784298	6998458	2952094	48067245	23830864							86768875	0.0	33707638	0	1	-33000000	33000000
2800470.0	1880	MISSISSIPPI	280	HARRISON	470	7895	77240443	0	0.7791748642921448	0	0	0	0	0	30540089	0	0.0	34190402	32353325	1634183	23167965	-0.8409847	-10920475	78819375	26390574	5247024	4732197							8973985	0.0	15275198	0	1	-31400000	31400000
